"Processes","Processus"
"System","Système"
"Process Information","Informations sur le processus"
"Process List","Liste des processus"
"Created At","Créé le"
"Updated At","Mis à jour le"
"Type","Type"
"Name","Nom"
"Duration","Durée"
"File","Fichier"
"Process Status","Statut du processus"
"Status","Statut"
"Mirakl Status","Statut Mirakl"
"Report File","Fichier de rapport"
"Output","Rapport"
"Process Output","Rapport du processus"
"Action","Action"
"View","Consulter"
"Process Report List","Liste des processus"
"This process no longer exists.","Ce processus n'existe plus."
"View Process","Consulter le processus"
"Process #%1","Processus #%1"
"Clear All","Tout effacer"
"Are you sure? This will delete all existing processes.","Êtes-vous sûr ? Tous les processus seront supprimés."
"Processes have been deleted successfully.","Les processus ont été supprimés avec succès."
"An error occurred while deleting all processes: %1.","Une erreur est survenue lors de la suppression des processus : %1."
"Please select processes to delete.","Veuillez sélectionner les processus à supprimer."
"Delete","Supprimer"
"Stop","Arrêter"
"This process cannot be stopped.","Ce processus ne peut être stoppé."
"Process has been deleted successfully.","Le processus a été supprimé avec succès."
"Process has been stopped successfully.","Le processus a été arrêté avec succès."
"This process cannot be executed.","Ce processus ne peut être exécuté."
"Process has been executed successfully.","Le processus a été exécuté avec succès."
"An error occurred while deleting the process: %1.","Une erreur est survenue lors de la suppression du processus : %1."
"An error occurred while stopping the process: %1.","Une erreur est survenue lors de l'arrêt du processus : %1."
"An error occurred while executing the process: %1.","Une erreur est survenue lors de l'exécution du processus : %1."
"Click <a href=""%1"">here</a> to view process output.","Cliquez <a href=""%1"">ici</a> pour consulter le processus."
"pending","en attente"
"processing","en cours"
"completed","terminé"
"stopped","arrêté"
"error","erreur"
"Processing #%1","Traitement de #%1"
"Toggle Text Wrapping","Inverser l'affichage en une seule ligne"
"Download","Télécharger"
"Scroll to Top","Aller en haut"
"Scroll to Bottom","Aller en bas"
"Memory Peak Usage: %1","Mémoire max. : %1"
"Running %1::%2()","Lancement de %1::%2()"
"An error occurred while deleting processes: %1.","Une erreur est survenue lors de la suppression des processus : %1."
"%1 ago","Il y a %1"
"Mirakl Process Configuration","Configuration des processus Mirakl"
"Automatic Asynchronous Execution","Activer l'exécution automatique et asynchrone des processus"
"If enabled, pending processes will be automatically executed asynchronously during Magento backend navigation through an AJAX request.","Si activé, les processus en attente seront exécutés automatiquement de manière asynchrone pendant la navigation dans l'admin Magento via une requête AJAX."
"Uploading file...","Envoi du fichier..."
"Response: [%1] %2","Réponse : [%1] %2"
"Open in Browser","Ouvrir dans le navigateur"
"open in browser","ouvrir dans le navigateur"
"""Open in Browser"" Max File Size","Taille max des fichiers à ouvrir dans le navigateur"
"Allow files not exceeding this size (in MB) to be opened directly in browser.","Autorise les fichiers n'excédant pas cette taille (en MB) à être ouverts directement dans le navigateur."
"Run","Éxécuter"
"Nothing to process asynchronously","Rien à synchroniser"
"Mirakl API Status","Statut API Mirakl"
"Mirakl Error File","Fichier d'erreur Mirakl"
"This process has not generated any output.","Ce processus n'as pas généré de log."
"Check Mirakl Status","Vérifier le statut Mirakl"
"Mirakl status cannot be checked on this process.","Le statut Mirakl ne peut être mis à jour pour ce processus."
"Mirakl status has been updated successfully.","Le statut Mirakl a été mis à jour avec succès."
"An error occurred while checking Mirakl status of the process: %1.","Une erreur est survenue lors de la mise à jour du statut Mirakl : %1."
